class,precision,recall,f1,support
Drama,0.8028169014084507,0.7702702702702703,0.7862068965517242,148
Adventure,0.4473684210526316,0.6071428571428571,0.5151515151515151,28
Crime,0.525,0.5,0.5121951219512195,42
Action,0.5185185185185185,0.42424242424242425,0.4666666666666667,33
Comedy,0.35,0.34146341463414637,0.345679012345679,41
Romance,0.45,0.2571428571428571,0.32727272727272727,35
Biography,0.5555555555555556,0.21739130434782608,0.3125,23
Animation,0.21621621621621623,0.47058823529411764,0.2962962962962963,17
Mystery,0.38461538461538464,0.19230769230769232,0.2564102564102564,26
Thriller,0.25,0.23076923076923078,0.24,26
History,0.1111111111111111,0.3333333333333333,0.16666666666666666,12
Fantasy,0.09045226130653267,1.0,0.16589861751152074,18
Family,0.3333333333333333,0.1,0.15384615384615385,10
Sci-Fi,0.0,0.0,0.0,11
War,0.0,0.0,0.0,9
